,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
824,"22,491 km",2015 Maruti Ertiga VDI ABS,January 2013,First Owner,22/2/2021,Comp,DL9C,Diesel,MANUAL,"₹ 550,000"
825,"16,186 km",2018 Maruti Dzire VDI,October 2018,First Owner,27/10/2020,Zero_Dep,UP25,Petrol,MANUAL,"₹ 590,000"
826,"35,422 km",2016 Hyundai Grand i10 1.2 SPORTZ PRIME EDITION VTVT,April 2015,First Owner,2/7/2021,Comp,DL8C,Diesel,NA,"₹ 400,000"
827,"51,365 km",2011 Volkswagen Vento HIGHLINE DIESEL,February 2014,Third Owner,26/7/2021,Comprehensive,DL9C,Diesel,MANUAL,"₹ 200,000"
828,"16,365 km",2015 Hyundai Eon ERA PLUS,February 2017,First Owner,18/2/2021,Comp,UP25,Petrol,MANUAL,"₹ 245,000"
829,"35,952 km",2017 Honda Amaze 1.2 S (O) MT I VTEC,May 2014,First Owner,25/5/2021,Comprehensive,DL10,Petrol,MANUAL,"₹ 501,000"
830,"4,830 km",2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,December 2019,First Owner,27/12/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 450,230"
831,"2,823 km",2011 Hyundai i10 MAGNA 1.1 IRDE2,June 2020,First Owner,18/7/2021,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 168,274"
832,"35,847 km",2015 Chevrolet Beat LS PETROL,March 2011,Second Owner,1/12/2020,Comprehensive,DL8C,Petrol,MANUAL,"₹ 220,000"
833,"30,884 km",2011 Maruti Wagon R 1.0 LXI,February 2015,Second Owner,14/7/2021,Insurance Expired,DL13,Diesel,MANUAL,"₹ 149,000"
834,"21,572 km",2015 Hyundai Elite i20 SPORTZ 1.4,July 2018,First Owner,NA,Zero_Dep,DL12,Diesel,MANUAL,"₹ 410,000"
835,"26,167 km",2015 Maruti Wagon R 1.0 LXI,July 2016,First Owner,12/1/2022,Insurance Expired,DL14,Petrol,MANUAL,"₹ 250,000"
836,"59,911 km",2016 Chevrolet Sail UVA 1.2 BASE,February 2011,First Owner,NA,Insurance Expired,DL10,Diesel,MANUAL,"₹ 164,350"
837,"18,226 km",2017 Hyundai Elite i20 ASTA 1.2 DUAL TONE,July 2015,First Owner,28/10/2020,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 625,000"
838,"20,156 km",2018 Maruti Swift ZXI AMT,September 2017,First Owner,NA,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 650,000"
839,"14,863 km",2012 Hyundai Verna FLUIDIC 1.6 EX CRDI,November 2017,First Owner,16/10/2021,Zero Depreciation,HR26,Petrol,NA,"₹ 377,000"
840,"54,316 km",2017 Maruti Swift LXI OPT,April 2011,First Owner,11/10/2021,Comp,DL3C,Petrol,MANUAL,"₹ 396,128"
841,"23,858 km",2013 Hyundai i20 MAGNA O 1.2,January 2015,First Owner,20/1/2021,Third_party,DL8C,Petrol,MANUAL,"₹ 310,000"
842,"50,027 km",2015 Maruti Celerio VXI AMT,April 2011,First Owner,30/7/2021,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 333,000"
843,"50,128 km",2011 Hyundai i20 SPORTZ 1.2 O,April 2015,Second Owner,NA,Third_party,DL10,Diesel,MANUAL,"₹ 205,000"
844,"32,396 km",2006 Mercedes Benz C Class 220 CDI MT,February 2015,First Owner,6/4/2021,Insurance Expired,UP31,Petrol,MANUAL,"₹ 300,000"
845,"61,708 km",2010 Maruti Alto LXI,March 2016,First Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 125,000"
846,"10,100 km",2017 Maruti Wagon R 1.0 VXI,August 2017,First Owner,20/10/2020,3rd Party,DL6C,Petrol,MANUAL,"₹ 410,000"
847,"9,677 km",2016 Mahindra Kuv100 K6 6 STR,May 2018,First Owner,20/10/2021,Insurance Expired,DL8C,Petrol,AUTOMATIC,"₹ 406,000"
848,"39,325 km",2016 Datsun Redi Go LIMITED EDITION,May 2012,First Owner,NA,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 160,000"
849,"11,299 km",2006 Honda City ZX GXI,August 2017,First Owner,15/2/2021,Comprehensive,DL1C,Petrol,MANUAL,"₹ 150,000"
850,"22,078 km",2016 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2013,First Owner,NA,Comp,DL8C,Petrol,MANUAL,"₹ 271,314"
851,"29,763 km",2017 Maruti Ciaz ZETA 1.3 DDIS SHVS ,July 2015,First Owner,23/12/2020,Zero_Dep,DL8C,Petrol,AUTOMATIC,"₹ 652,000"
852,"25,760 km",2012 Tata Nano LX SPECIAL EDITION,May 2011,First Owner,27/5/2021,Comp,MH04,Petrol,MANUAL,"₹ 70,000"
853,"28,128 km",2015 Chevrolet Beat LT PETROL,October 2006,First Owner,4/2/2021,Comprehensive,DL1C,Diesel,MANUAL,"₹ 215,000"
854,"39,620 km",2011 Honda City V MT PETROL,February 2010,First Owner,17/6/2021,Expired,DL3C,Petrol,MANUAL,"₹ 315,000"
855,"9,552 km",2008 Maruti Swift LXI 1.3,May 2017,First Owner,NA,Zero Depreciation,DL2C,Petrol,MANUAL,"₹ 171,000"
856,"14,253 km",2013 Maruti Swift Dzire ZXI 1.2 BS IV,July 2016,First Owner,7/10/2020,Zero Depreciation,DL2C,Petrol,MANUAL,"₹ 342,000"
857,"36,003 km",2010 Hyundai i20 MAGNA O 1.2,November 2016,First Owner,30/11/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 175,000"
858,"36,427 km",2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,May 2006,First Owner,3/6/2021,Third_party,DL8C,Petrol,MANUAL,"₹ 410,000"
859,"32,105 km",2014 Toyota Innova 2.5 GX 7 STR BS IV,October 2016,First Owner,15/4/2021,Insurance Expired,HR21,Petrol + CNG,MANUAL,"₹ 650,000"
860,"16,522 km",2020 Maruti Alto LXI,April 2017,First Owner,NA,Comp,HR29,Diesel,MANUAL,"₹ 330,000"
861,"25,775 km",2011 Hyundai Accent EXECUTIVE GLE,September 2012,First Owner,18/8/2021,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 130,000"
862,"22,259 km",2019 Volkswagen Ameo Trendline 1.0,January 2015,First Owner,NA,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 460,000"
863,"46,497 km",2016 Hyundai Grand i10 1.2 SPORTZ PRIME EDITION VTVT,June 2011,First Owner,3/10/2021,Comp,DL12,Petrol,MANUAL,"₹ 380,000"
864,"30,423 km",2017 Honda Amaze 1.2 S (O) MT I VTEC,May 2008,First Owner,NA,Expired,DL14,Petrol,MANUAL,"₹ 468,000"
865,"36,612 km",2011 Tata Indigo ECS LS CR4 BS IV,September 2013,Second Owner,18/8/2021,Comp,HR26,Petrol,MANUAL,"₹ 85,878"
866,"50,666 km",2017 Renault Kwid 1.0 RXT Opt,May 2010,First Owner,NA,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 242,276"
867,"25,724 km",2012 Maruti Swift Dzire VDI BS IV,October 2015,First Owner,4/8/2021,Comp,DL6C,Petrol,MANUAL,"₹ 350,000"
868,"52,349 km",2009 Tata Nano STD,April 2014,First Owner,NA,Insurance Expired,DL4C,Diesel,MANUAL,"₹ 28,000"
869,"5,462 km",2012 Maruti Swift Dzire VXI 1.2 BS IV,July 2020,First Owner,26/10/2020,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 336,000"
870,"50,704 km",2011 Skoda Laura AMBIENTE 1.8 TSI,February 2011,Second Owner,NA,Expired,DL4C,Petrol + CNG,MANUAL,"₹ 280,000"
871,"8,339 km",2015 Mahindra Thar CRDE 4X4 BS IV,October 2019,First Owner,1/1/2021,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 629,100"
872,"20,778 km",2010 Maruti Alto LXI,June 2016,Second Owner,NA,Insurance Expired,UP70,Petrol,MANUAL,"₹ 150,000"
873,"21,307 km",2017 Maruti Celerio ZXI OPT AMT,September 2017,First Owner,11/12/2021,Comp,DL9C,Petrol,MANUAL,"₹ 400,000"
874,"70,000 km",2018 Maruti Wagon R 1.0 LXI CNG,August 2011,First Owner,NA,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 380,000"
875,"20,235 km",2010 Maruti Wagon R 1.0 VXI,September 2017,First Owner,13/3/2021,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 170,000"
876,"52,511 km",2012 Ford Figo 1.4 EXI DURATORQ ,December 2012,First Owner,NA,Comp,DL8C,Diesel,MANUAL,"₹ 127,318"
877,"11,975 km",2020 Honda Civic ZX CVT PETROL,July 2009,Third Owner,17/10/2021,Expired,DL14,Petrol,MANUAL,"₹ 2,100,000"
878,"38,446 km",2013 Ford Figo 1.2 LXI DURATEC ,March 2012,First Owner,NA,Comprehensive,DL12,Petrol,MANUAL,"₹ 160,000"
879,"39,468 km",2011 Hyundai i20 SPORTZ 1.2 O,January 2011,First Owner,5/9/2020,Comprehensive,DL4C,Petrol,NA,"₹ 236,000"
880,"21,420 km",2011 Maruti Alto LXI,April 2015,Second Owner,NA,Comprehensive,DL9C,Diesel,AUTOMATIC,"₹ 105,504"
881,"48,308 km",2013 Hyundai i10 SPORTZ 1.1 IRDE2,August 2010,First Owner,14/10/2021,Comprehensive,GJ06,Petrol,NA,"₹ 300,000"
882,"20,028 km",2015 Maruti Wagon R 1.0 VXI,June 2017,First Owner,27/9/2021,Comp,DL6C,Petrol,MANUAL,"₹ 325,000"
883,"21,255 km",2009 Maruti Alto LXI,August 2018,Second Owner,31/3/2021,Expired,DL6C,Petrol + CNG,MANUAL,"₹ 110,000"
884,"42,690 km",2012 Ford Figo 1.4 ZXI DURATORQ ,December 2010,First Owner,NA,Comp,DL10,Petrol,MANUAL,"₹ 163,500"
885,"33,141 km",2010 Honda Civic 1.8V MT,September 2012,First Owner,18/7/2021,Insurance Expired,DL7C,Diesel,MANUAL,"₹ 260,000"
886,"2,632 km",2011 Chevrolet Aveo LS 1.4,January 2020,First Owner,14/7/2021,Zero Depreciation,DL13,Petrol,MANUAL,"₹ 156,000"
887,"39,310 km",2018 Tata Tiago XE 1.05 REVOTORQ,January 2013,Second Owner,NA,Insurance Expired,DL5C,Petrol,MANUAL,"₹ 390,000"
888,"59,672 km",2018 Hyundai Grand i10 MAGNA 1.2 VTVT,May 2011,First Owner,3/1/2022,Comp,DL8C,Petrol,MANUAL,"₹ 415,000"
889,"74,118 km",2013 Maruti Swift VXI,November 2011,First Owner,NA,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 325,000"
890,"25,555 km",2012 Toyota Etios Liva D 4D GD,December 2013,First Owner,11/12/2020,Comprehensive,DL7C,Petrol,MANUAL,"₹ 250,000"
891,"20,208 km",2016 Maruti Swift LXI OPT,December 2015,First Owner,NA,Comprehensive,DL9C,Petrol,NA,"₹ 410,000"
892,"31,961 km",2010 Maruti Swift Dzire ZXI 1.2 BS IV,October 2009,First Owner,30/9/2021,Comprehensive,UP14,Petrol,MANUAL,"₹ 180,000"
893,"46,761 km",2018 Tata Tiago XZ 1.2 REVOTRON,June 2012,First Owner,11/10/2021,Insurance Expired,DL3C,Diesel,MANUAL,"₹ 463,000"
894,"66,391 km",2011 Toyota Corolla Altis 1.8 G,January 2010,Second Owner,NA,3rd Party,DL3C,Petrol,MANUAL,"₹ 270,000"
895,"17,282 km",2019 Maruti Baleno ZETA 1.2 K12 ,June 2011,First Owner,28/8/2021,Comprehensive,DL9C,Petrol,NA,"₹ 670,000"
896,"17,220 km",2010 Maruti Zen Estilo LXI,March 2018,First Owner,12/10/2021,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 150,000"
897,"15,797 km",2020 KIA SELTOS HTK PLUS 1.5 DIESEL,January 2018,First Owner,NA,Insurance Expired,HR12,Petrol,MANUAL,"₹ 1,350,000"
898,"31,006 km",2009 Maruti Wagon R Duo LXI LPG,July 2013,First Owner,29/12/2020,Comprehensive,DL9C,Petrol + CNG,MANUAL,"₹ 150,000"
899,"34,728 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,November 2012,First Owner,NA,Zero_Dep,DL2C,Diesel,MANUAL,"₹ 350,000"
900,"25,020 km",2013 Ford Figo 1.2 EXI DURATEC,December 2016,First Owner,28/12/2021,Zero Depreciation,DL10,Petrol,MANUAL,"₹ 250,000"
901,"54,719 km",2013 Hyundai Santro Xing GL PLUS,July 2010,Second Owner,13/2/2021,Expired,DL9C,Petrol + CNG,MANUAL,"₹ 225,000"
902,"9,864 km",2017 Mahindra KUV 100 NXT K2 6 STR,March 2018,First Owner,NA,Zero_Dep,DL10,Petrol,MANUAL,"₹ 350,000"
903,"55,903 km",2015 Maruti Wagon R Stingray VXI,April 2011,Second Owner,12/1/2021,Insurance Expired,DL1C,Petrol + CNG,MANUAL,"₹ 294,000"
904,"7,965 km",2011 Maruti Wagon R 1.0 LXI,January 2019,First Owner,NA,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 180,000"
905,"28,550 km",2017 Maruti IGNIS SIGMA 1.2 K12 ,March 2010,First Owner,9/7/2021,Comp,DL10,Petrol,MANUAL,"₹ 380,000"
906,NA,2013 Honda Amaze 1.5 VXMT I DTEC,July 2020,First Owner,11/8/2021,Zero Depreciation,DL4C,Diesel,MANUAL,"₹ 260,000"
907,"4,691 km",2012 Mahindra XUV500 W8 FWD,May 2009,First Owner,4/6/2021,Comp,DL4C,Petrol + LPG,MANUAL,"₹ 451,000"
908,"30,091 km",2011 Ford Figo 1.4 TITANIUM DURATORQ,NA,First Owner,1/11/2021,Third_party,DL4C,Petrol + CNG,MANUAL,"₹ 120,000"
909,"10,442 km",2017 Tata Tiago 	XZA 1.2 REVOTRON,October 2018,NA,31/3/2021,Expired,DL10,Petrol,MANUAL,"₹ 477,000"
910,"16,255 km",2016 Hyundai i10 MAGNA 1.1 IRDE2,May 2013,First Owner,11/2/2021,Comp,DL12,Petrol,MANUAL,"₹ 312,000"
911,"39,477 km",2019 Renault Kwid 1.0 RXT Opt,March 2013,First Owner,2/1/2021,Comp,DL12,NA,MANUAL,"₹ 320,000"
912,"20,806 km",2020 Honda Amaze 1.2 SMT I VTEC,November 2017,First Owner,NA,NA,DL8C,Petrol,MANUAL,"₹ 658,260"
913,"15,049 km",2013 Renault Duster RXE PETROL 104,September 2015,Second Owner,22/10/2020,Comprehensive,HR26,Petrol,NA,"₹ 320,335"
914,"47,301 km",2018 Tata Tiago 	XZA 1.2 REVOTRON,April 2011,First Owner,NA,Third_party,DL10,Petrol,MANUAL,"₹ 451,000"
915,"15,056 km",2015 Honda City SV MT PETROL,January 2017,First Owner,15/9/2021,Zero_Dep,DL7C,Petrol,MANUAL,"₹ 625,000"
916,"44,543 km",2011 Chevrolet Cruze LTZ,June 2013,Second Owner,25/8/2021,Expired,DL10,Diesel,MANUAL,"₹ 248,099"
917,"38,058 km",2010 Hyundai i10 MAGNA 1.2 KAPPA2,June 2012,First Owner,NA,Comprehensive,DL3C,Diesel,NA,"₹ 150,000"
918,"68,218 km",2011 Hyundai i20 MAGNA O 1.2,July 2011,First Owner,28/9/2021,3rd Party,DL2C,Diesel,MANUAL,"₹ 205,000"
919,"19,358 km",2013 Maruti Wagon R 1.0 VXI,March 2017,First Owner,9/6/2021,Comprehensive,DL6C,Petrol,NA,"₹ 270,000"
920,"29,422 km",2016 Mahindra Kuv100 K6+ 6 STR,May 2016,First Owner,29/9/2020,3rd Party,DL8C,Petrol,MANUAL,"₹ 301,090"
921,"12,488 km",2015 Maruti Celerio ZXI OPT,June 2019,First Owner,17/7/2021,Insurance Expired,DL5C,Petrol,MANUAL,"₹ 300,000"
922,"6,010 km",2015 Hyundai i10 MAGNA 1.1 IRDE2,February 2020,First Owner,NA,Comprehensive,UP78,Petrol,MANUAL,"₹ 260,000"
923,"45,038 km",2011 Chevrolet Beat PS PETROL,January 2013,First Owner,18/6/2021,Expired,DL10,Petrol,MANUAL,"₹ 120,000"
924,"13,522 km",2016 Toyota Etios Liva VX,June 2018,First Owner,NA,Expired,DL12,Petrol,MANUAL,"₹ 400,000"
925,"15,698 km",2012 Mahindra Thar CRDE 4X4 BS IV,August 2015,First Owner,1/1/2021,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 350,000"
926,"64,553 km",2012 Hyundai i10 MAGNA 1.2 KAPPA2,March 2011,First Owner,NA,Third_party,DL9C,Diesel,MANUAL,"₹ 180,500"
927,"27,370 km",2016 Hyundai i20 Active 1.2 S,November 2010,First Owner,26/7/2021,Comp,DL8C,Petrol,MANUAL,"₹ 570,000"
928,"43,754 km",2012 Maruti Swift VDI,February 2011,First Owner,NA,Expired,DL2C,Petrol,MANUAL,"₹ 330,000"
929,"36,464 km",2010 Tata Nano LX,July 2013,Second Owner,10/10/2021,Comprehensive,UP14,Petrol + CNG,MANUAL,"₹ 40,000"
930,"27,335 km",2017 Maruti Swift LXI OPT,July 2016,First Owner,NA,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 430,000"
931,"30,283 km",2011 Toyota Etios VX,September 2015,First Owner,4/6/2021,Expired,DL9C,Petrol,MANUAL,"₹ 225,000"
932,"35,710 km",2015 Skoda Rapid 1.5 TDI AT ELEGANCE,September 2015,Second Owner,NA,3rd Party,DL1C,Petrol,MANUAL,"₹ 500,000"
933,"43,694 km",2019 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,September 2011,First Owner,27/9/2021,Insurance Expired,DL2C,Petrol,MANUAL,"₹ 390,826"
934,"29,293 km",2013 Hyundai i20 MAGNA O 1.2,September 2016,Second Owner,NA,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 275,000"
935,"54,929 km",2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,August 2012,Second Owner,5/9/2021,Insurance Expired,DL9C,Diesel,MANUAL,"₹ 355,000"
936,"62,587 km",2009 Maruti Wagon R LXI MINOR,March 2012,Second Owner,NA,Expired,DL5C,Petrol,MANUAL,"₹ 120,000"
937,"19,170 km",2012 Nissan Sunny XL PETROL,July 2016,Second Owner,16/6/2021,Zero_Dep,DL11,Petrol,MANUAL,"₹ 207,575"
938,"37,366 km",2014 Datsun Go T,April 2012,First Owner,NA,Comprehensive,DL2C,Diesel,MANUAL,"₹ 190,000"
939,"21,077 km",2016 Honda Amaze 1.2 SMT I VTEC,September 2010,Second Owner,23/6/2021,Expired,DL10,Petrol,MANUAL,"₹ 389,500"
940,"26,993 km",2015 Maruti Wagon R 1.0 LXI AVANCE LIMITED EDITION,May 2017,First Owner,NA,Zero Depreciation,DL2C,Petrol + CNG,NA,"₹ 306,000"
941,"49,747 km",2012 Tata Nano LX,January 2011,First Owner,21/3/2021,3rd Party,DL4C,Petrol,AUTOMATIC,"₹ 56,700"
942,"43,467 km",2015 Toyota Etios Liva V,July 2015,Second Owner,29/7/2021,Comprehensive,DL10,Diesel,NA,"₹ 390,000"
943,"18,274 km",2015 Renault Kwid RXT Opt,April 2019,First Owner,30/4/2022,3rd Party,DL8C,Petrol + CNG,MANUAL,"₹ 205,000"
944,"47,066 km",2015 Hyundai i10 MAGNA 1.1 IRDE2,July 2013,Second Owner,18/9/2021,Expired,DL7C,Petrol,MANUAL,"₹ 300,000"
945,"40,056 km",2012 Hyundai Verna FLUIDIC 1.6 EX CRDI,January 2014,First Owner,NA,Comprehensive,DL4C,Petrol,MANUAL,"₹ 321,516"
